x,random+software+w_8,random+software+w_64,random+universal+w_8,random+universal+w_64,bmc+formal+w_8,bmc+formal+w_64,bmc+universal+w_8,bmc+universal+w_64
4,0.0041589897999999995,0.0051265917,0.008516171500000001,0.0082968079,0.053078861,0.2997728780000001,0.214837593,1.061317855
8,0.0122610935,0.0173414802,0.024679312100000003,0.028465653100000005,3.960935065,25.781657964,115.336196776,323.23315523099996
16,0.1494454049,0.0952756143,0.17967941280000002,0.18163329,,,,
32,1.6697818189,1.4347668698,1.4587075545000001,1.523881132,,,,
64,21.1890461833,20.7532411181,15.6111287931,10.631077806399999,,,,
128,290.8132606447,530.6650576604001,194.94731084400001,175.9860957866,,,,
